game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,game_name,links,global_sales
Guild Wars 2,2012-08-28,90,7.9,23,12883,177,7,0,77,69,2964,Role-Playing,T,68,1,0,648,142,142,560.130434782609,Guild Wars 2,http://www.vgchartz.com/game/37350/guild-wars-2/,2.37
The Walking Dead: A Telltale Games Series,2012-04-24,89,8.7,27,48571,470,9,0,163,14,2264,Compilations,NA,14,0,0,296,35,35,1798.92592592593,The Walking Dead: A Telltale Games Series,NA,NA
The Walking Dead: Episode 5 - No Time Left,2012-11-21,89,8.9,45,101764,2141,68,0,587,21,391,Miscellaneous,M,20,1,0,51,10,10,2261.42222222222,The Walking Dead: Episode 5 - No Time Left,http://www.vgchartz.com/gamedb/?name=The+Walking+Dead%3A+Episode+5+-+No+Time+Left,NA
Borderlands 2,2012-09-17,89,8.2,50,1538176,9714,534,0,3219,38,2501,Action,M,37,1,0,377,84,84,30763.52,Borderlands 2,http://www.vgchartz.com/game/55599/borderlands-2/,0.93
XCOM: Enemy Unknown,2012-10-09,89,8.2,50,140829,2329,30,0,460,57,2244,Strategy,M,56,1,0,356,120,120,2816.58,XCOM: Enemy Unknown,http://www.vgchartz.com/game/70978/xcom-enemy-unknown/,0.72
Mass Effect 3,2012-03-06,89,5.5,40,689443,11188,181,0,2886,23,5960,Role-Playing,M,23,0,0,703,316,316,17236.075,Mass Effect 3,http://www.vgchartz.com/game/44119/mass-effect-3/,0.97
Far Cry 3,2012-12-04,88,8.2,48,1321284,20582,264,0,2944,43,3214,Action,M,42,1,0,433,111,111,27526.75,Far Cry 3,http://www.vgchartz.com/game/51769/far-cry-3/,0.97
Torchlight II,2012-09-20,88,8.6,25,115144,515,22,0,76,67,1894,Role-Playing,NA,66,1,0,424,52,52,4605.76,Torchlight II,http://www.vgchartz.com/game/46849/torchlight-ii/,0
Thirty Flights of Loving,2012-08-20,88,5,50,180616,775,41,0,163,10,177,Adventure,NA,10,0,0,20,14,14,3612.32,Thirty Flights of Loving,http://www.vgchartz.com/gamedb/?name=Thirty+Flights+of+Loving,NA
Diablo III,2012-05-15,88,4,45,3160388,16168,710,0,3282,86,9649,Role-Playing,M,81,4,1,NA,511,511,70230.8444444444,Diablo III,http://www.vgchartz.com/game/24178/diablo-iii/,5.19
Max Payne 3,2012-05-31,87,7.6,19,525618,2561,150,0,423,30,2219,Action,M,28,2,0,269,105,105,27664.1052631579,Max Payne 3,http://www.vgchartz.com/game/29385/max-payne-3/,0.44
Total War: Shogun 2 - Fall of the Samurai,2012-03-23,86,8.5,40,175394,2239,43,0,482,45,352,Strategy,T,44,1,0,43,8,8,4384.85,Total War: Shogun 2 - Fall of the Samurai,http://www.vgchartz.com/game/70570/total-war-shogun-2-fall-of-the-samurai/,0.2
Football Manager 2013,2012-11-01,86,6.8,48,2189532,25227,535,0,5002,37,231,Sports,NA,35,2,0,19,10,10,45615.25,Football Manager 2013,http://www.vgchartz.com/game/71128/football-manager-2013/,1.15
Black Mesa,2012-09-14,86,8.9,21,50125,525,17,0,131,9,560,Action,NA,9,0,0,87,5,5,2386.90476190476,Black Mesa,http://www.vgchartz.com/game/43006/black-mesa/,NA
FIFA Soccer 13,2012-09-25,86,6.6,26,427372,1957,93,0,479,7,289,Sports,E,7,0,0,17,9,9,16437.3846153846,FIFA Soccer 13,http://www.vgchartz.com/game/70739/fifa-soccer-13/,0.4
Tribes: Ascend,2012-04-12,86,7.8,49,764147,8351,195,0,2132,30,585,Action,T,29,1,0,149,14,14,15594.8367346939,Tribes: Ascend,http://www.vgchartz.com/gamedb/?name=Tribes%3A+Ascend,0
Rayman Origins,2012-03-29,86,8.4,46,10995819,40262,3009,0,5903,11,342,Action,E10+,11,0,0,49,3,3,239039.543478261,Rayman Origins,http://www.vgchartz.com/game/70541/rayman-origins/,0.08
Hotline Miami,2012-10-23,85,8.5,50,26156,345,8,0,120,51,1157,Action,M,48,2,1,183,31,31,523.12,Hotline Miami,http://www.vgchartz.com/gamedb/?name=Hotline+Miami,0
Out of the Park Baseball 13,2012-04-09,85,8.2,8,69483,538,24,0,112,8,83,Sports,NA,7,1,0,40,0,0,8685.375,Out of the Park Baseball 13,http://www.vgchartz.com/gamedb/?name=Out+of+the+Park+Baseball+13,NA
Dark Souls: Prepare to Die Edition,2012-08-23,85,7.5,20,4872358,31818,1024,0,5388,42,1990,Role-Playing,M,36,5,1,366,60,60,243617.9,Dark Souls,http://www.vgchartz.com/game/70899/dark-souls/,0.07
The Walking Dead: Episode 3 - Long Road Ahead,2012-08-29,85,8.4,50,1002657,4309,332,0,918,24,247,Miscellaneous,M,22,2,0,13,6,6,20053.14,The Walking Dead: Episode 3 - Long Road Ahead,http://www.vgchartz.com/gamedb/?name=The+Walking+Dead%3A+Episode+3+-+Long+Road+Ahead,NA
The Walking Dead: Episode 2 - Starved for Help,2012-06-29,84,8.6,11,7180,127,1,0,36,25,378,Miscellaneous,M,24,1,0,40,5,5,652.727272727273,The Walking Dead: Episode 2 - Starved for Help,http://www.vgchartz.com/gamedb/?name=The+Walking+Dead%3A+Episode+2+-+Starved+for+Help,NA
Pinball FX 2,2012-10-27,84,7.9,47,790632,6037,502,0,1930,7,79,Action,E,7,0,0,24,4,4,16821.9574468085,Pinball FX 2,http://www.vgchartz.com/gamedb/?name=Pinball+FX+2,0
PlanetSide 2,2012-11-20,84,7,49,1450737,34705,281,0,5062,42,1295,Role-Playing,T,38,4,0,268,105,105,29606.8775510204,PlanetSide 2,http://www.vgchartz.com/gamedb/?name=PlanetSide+2,0
FTL: Faster Than Light,2012-09-14,84,8.4,36,52836,1135,20,0,415,42,1325,Simulation,NA,41,1,0,261,34,34,1467.66666666667,FTL: Faster Than Light,http://www.vgchartz.com/gamedb/?name=FTL%3A+Faster+Than+Light,0
Orcs Must Die! 2,2012-07-30,83,7.9,47,2281108,21216,644,0,5835,43,513,Action,T,39,4,0,65,25,25,48534.2127659574,Orcs Must Die! 2,http://www.vgchartz.com/gamedb/?name=Orcs+Must+Die!,0
Alan Wake,2012-02-16,83,8,22,5468463,262388,3157,0,45448,30,1484,Action Adventure,T,27,3,0,171,65,65,248566.5,Alan Wake,http://www.vgchartz.com/game/13818/alan-wake/,0.07
Counter-Strike: Global Offensive,2012-08-21,83,7.8,50,14708026,289835,7322,0,135923,38,2656,Action,M,34,4,0,346,85,85,294160.52,Counter-Strike: Global Offensive,http://www.vgchartz.com/game/57184/counter-strike-global-offensive/,NA
Sins of a Solar Empire: Rebellion,2012-06-12,82,7.8,39,894148,7282,147,0,1086,24,255,Strategy,T,20,4,0,55,9,9,22926.8717948718,Sins of a Solar Empire,http://www.vgchartz.com/game/15876/sins-of-a-solar-empire/,0.03
Legend of Grimrock,2012-04-11,82,8.1,34,457774,4839,67,0,1038,51,690,Role-Playing,NA,46,5,0,136,22,22,13463.9411764706,Legend of Grimrock,http://www.vgchartz.com/gamedb/?name=Legend+of+Grimrock,0
Borderlands 2: Mr. Torgue's Campaign of Carnage,2012-11-20,82,7.3,28,2437368,28605,696,0,10161,8,73,Action,M,7,1,0,7,4,4,87048.8571428571,Borderlands 2,http://www.vgchartz.com/game/55599/borderlands-2/,0.93
Crusader Kings II,2012-02-14,82,8.7,50,5680082,74492,1518,0,13518,31,745,Strategy,T,27,4,0,171,8,8,113601.64,Crusader Kings II,http://www.vgchartz.com/game/51958/crusader-kings-ii/,0
World of Warcraft: Mists of Pandaria,2012-09-25,82,4.8,48,131208,1875,40,0,422,42,1272,Massively Multiplayer,T,38,4,0,164,40,40,2733.5,World of Warcraft: Mists of Pandaria,http://www.vgchartz.com/game/65124/world-of-warcraft-mists-of-pandaria/,1.82
The Walking Dead: Episode 1 - A New Day,2012-04-24,82,8.4,21,30422,677,20,0,255,40,794,Action,M,33,7,0,116,24,24,1448.66666666667,The Walking Dead: Episode 1 - A New Day,http://www.vgchartz.com/gamedb/?name=The+Walking+Dead%3A+Episode+1+-+A+New+Day,NA
Botanicula,2012-04-19,82,8.3,48,1967759,10529,481,0,1567,38,343,Adventure,NA,32,6,0,51,8,8,40994.9791666667,Botanicula,http://www.vgchartz.com/game/65018/botanicula/,0.03
To the Moon,2012-09-07,81,8.9,50,586096,6487,189,0,1396,26,1075,Role-Playing,NA,22,4,0,202,15,15,11721.92,To the Moon,http://www.vgchartz.com/gamedb/?name=To+the+Moon,0
Darksiders II,2012-08-13,81,7.8,32,31619,526,37,0,244,23,657,Action Adventure,M,21,2,0,85,28,28,988.09375,Darksiders II,http://www.vgchartz.com/game/70583/darksiders-ii/,0.15
Lone Survivor,2012-04-23,81,7.2,37,219491,3444,51,0,840,24,137,Action Adventure,NA,20,4,0,24,5,5,5932.18918918919,Lone Survivor,http://www.vgchartz.com/gamedb/?name=Lone+Survivor,NA
Vessel,2012-03-01,81,7.9,23,50379,1449,19,0,474,26,109,Action,E,22,4,0,18,7,7,2190.39130434783,Vessel,http://www.vgchartz.com/gamedb/?name=Vessel,0
Kingdoms of Amalur: Reckoning,2012-02-07,81,6.6,46,426619,7080,192,0,1767,25,1102,Role-Playing,M,22,3,0,202,99,99,9274.32608695652,Kingdoms of Amalur: Reckoning,http://www.vgchartz.com/game/46226/kingdoms-of-amalur-reckoning/,0.3
Sleeping Dogs,2012-08-13,81,8.2,11,325538,1533,151,0,442,23,1220,Action Adventure,M,18,5,0,187,49,49,29594.3636363636,Sleeping Dogs,http://www.vgchartz.com/game/70487/sleeping-dogs/,0.12
Wargame: European Escalation,2012-02-22,81,8.1,26,47045,1416,40,0,446,28,209,Strategy,NA,23,5,0,67,11,11,1809.42307692308,Wargame: European Escalation,http://www.vgchartz.com/gamedb/?name=Wargame%3A+European+Escalation,0
Sid Meier's Civilization V: Gods & Kings,2012-06-18,80,7.7,50,3052803,14318,516,0,2562,53,442,Strategy,E10+,42,10,1,33,20,20,61056.06,Sid Meier's Civilization V,http://www.vgchartz.com/game/43507/sid-meiers-civilization-v/,1.69
Pro Evolution Soccer 2013,2012-09-25,80,6.9,50,2013074,51165,705,0,6678,8,185,Sports,E,6,2,0,17,3,3,40261.48,Pro Evolution Soccer 2013,http://www.vgchartz.com/game/71107/pro-evolution-soccer-2013/,0.08
Assassin's Creed III,2012-11-20,80,6.2,5,5386412,51310,1452,0,5383,21,1506,Action Adventure,M,18,2,1,111,112,112,1077282.4,Assassin's Creed III,http://www.vgchartz.com/game/70619/assassins-creed-iii/,0.93
La-Mulana (Remake),2012-07-13,80,7.1,46,863244,16191,2063,0,9153,9,67,Action,NA,8,1,0,12,1,1,18766.1739130435,La-Mulana (Remake),http://www.vgchartz.com/gamedb/?name=La-Mulana+(Remake),NA
Natural Selection 2,2012-10-30,80,8.4,50,299943,13697,559,0,927,28,625,Action,NA,24,4,0,177,27,27,5998.86,Natural Selection 2,http://www.vgchartz.com/gamedb/?name=Natural+Selection+2,NA
Borderlands 2: Captain Scarlett and Her Pirate's Booty,2012-10-16,80,7.4,49,6779118,154285,2388,0,46710,9,78,Action,M,9,0,0,4,4,4,138349.346938776,Borderlands 2,http://www.vgchartz.com/game/55599/borderlands-2/,0.93
The Walking Dead: Episode 4 - Around Every Corner,2012-10-10,80,8.5,41,45115,339,11,0,119,24,211,Miscellaneous,M,17,7,0,15,2,2,1100.36585365854,The Walking Dead: Episode 4 - Around Every Corner,http://www.vgchartz.com/gamedb/?name=The+Walking+Dead%3A+Episode+4+-+Around+Every+Corner,NA
F1 2012,2012-09-18,80,6.9,50,1507962,25863,702,0,8402,15,115,Driving,E,12,3,0,11,4,4,30159.24,F1 2012,http://www.vgchartz.com/game/70926/f1-2012/,0.15
Stealth Bastard Deluxe,2012-11-28,80,8.2,44,1370647,22040,586,0,6433,10,63,Action,NA,9,1,0,4,1,1,31151.0681818182,Stealth Bastard Deluxe,http://www.vgchartz.com/gamedb/?name=Stealth+Bastard+Deluxe,NA
Stacking,2012-03-06,80,7.9,50,153665,4511,82,0,906,9,92,Miscellaneous,E10+,8,1,0,7,4,4,3073.3,Stacking,http://www.vgchartz.com/gamedb/?name=Stacking,NA
FLY'N,2012-11-09,80,8.2,50,3061403,56216,1300,0,15365,7,58,Miscellaneous,NA,6,1,0,17,2,2,61228.06,FLY'N,http://www.vgchartz.com/gamedb/?name=FLY'N,NA
Dustforce,2012-01-17,79,7.9,49,489845,6817,348,0,1752,35,101,Action,NA,27,7,1,22,5,5,9996.83673469388,Dustforce,NA,NA
Hitman: Absolution,2012-11-19,79,7,29,8626000,178608,8319,0,18542,26,1336,Action Adventure,M,18,8,0,124,95,95,297448.275862069,Hitman: Absolution,http://www.vgchartz.com/game/50955/hitman-absolution/,0.25
Street Fighter X Tekken,2012-05-11,79,6.4,46,641057,8050,153,0,2232,8,134,Action,T,6,2,0,10,10,10,13936.0217391304,Street Fighter X Tekken,http://www.vgchartz.com/game/64675/street-fighter-x-tekken/,0.02
Chivalry: Medieval Warfare,2012-10-16,79,7.8,49,219394,6002,61,0,1260,24,891,Action,NA,19,5,0,189,59,59,4477.42857142857,Chivalry: Medieval Warfare,http://www.vgchartz.com/gamedb/?name=Chivalry%3A+Medieval+Warfare,0
Rift: Storm Legion,2012-11-13,79,7.8,48,340773,4706,241,0,1168,15,73,Role-Playing,T,11,4,0,14,1,1,7099.4375,Rift: Storm Legion,http://www.vgchartz.com/gamedb/?name=Rift%3A+Storm+Legion,NA
Need for Speed: Most Wanted - A Criterion Game,2012-10-30,78,4.4,19,358908,6186,102,0,887,14,725,Driving,E10+,11,3,0,43,45,45,18889.8947368421,Need for Speed: Most Wanted,http://www.vgchartz.com/game/15237/need-for-speed-most-wanted/,0.29
Baldur's Gate: Enhanced Edition,2012-11-28,78,6.8,49,3900876,31872,503,0,6920,39,362,Role-Playing,T,29,9,1,48,22,22,79609.7142857143,Baldur's Gate,http://www.vgchartz.com/game/7300/baldurs-gate/,0
Transformers: Fall of Cybertron,2012-08-20,78,7.9,50,4695458,253545,2858,0,42152,13,122,Action,T,9,4,0,16,4,4,93909.16,Transformers: Fall of Cybertron,http://www.vgchartz.com/game/70351/transformers-fall-of-cybertron/,0.01
Chaos on Deponia,2012-11-06,78,8.3,36,200660,4350,73,0,572,31,169,Adventure,NA,24,7,0,10,2,2,5573.88888888889,Chaos on Deponia,http://www.vgchartz.com/gamedb/?name=Chaos+on+Deponia,0
Tropico 4: Modern Times,2012-03-29,78,8,15,1524226,20292,354,0,3912,11,58,Strategy,T,8,3,0,7,2,2,101615.066666667,Tropico 4: Modern Times,http://www.vgchartz.com/game/70577/tropico-4-modern-times/,0.02
Elemental: Fallen Enchantress,2012-10-23,78,7.3,45,509134,4085,93,0,866,13,170,Strategy,NA,9,4,0,46,17,17,11314.0888888889,Elemental: Fallen Enchantress,http://www.vgchartz.com/gamedb/?name=Elemental%3A+Fallen+Enchantress,NA
Deadlight,2012-10-25,78,7.3,37,160996,2944,89,0,907,7,533,Action,M,5,2,0,31,48,48,4351.24324324324,Deadlight,NA,NA
Giana Sisters: Twisted Dreams,2012-10-23,77,7.8,27,456149,3463,98,0,846,21,164,Action,NA,15,5,1,29,7,7,16894.4074074074,Giana Sisters: Twisted Dreams,http://www.vgchartz.com/gamedb/?name=Giana+Sisters%3A+Twisted+Dreams,0
Quantum Conundrum,2012-06-21,77,7.3,46,100263,1127,60,0,483,60,189,Miscellaneous,E,45,14,1,23,17,17,2179.63043478261,Quantum Conundrum,http://www.vgchartz.com/gamedb/?name=Quantum+Conundrum,0
Endless Space,2012-07-04,77,7.4,31,11149923,48978,4143,0,7202,36,514,Strategy,T,27,8,1,81,55,55,359674.935483871,Endless Space,http://www.vgchartz.com/game/74508/endless-space/,0
The Darkness II,2012-02-06,77,7.6,48,131553,1738,42,0,723,20,451,Action,M,15,5,0,57,17,17,2740.6875,The Darkness II,http://www.vgchartz.com/game/50102/the-darkness-ii/,0.14
TERA,2012-05-01,77,6.8,49,2904345,35327,1196,0,8501,41,747,Role-Playing,M,28,13,0,197,55,55,59272.3469387755,TERA,http://www.vgchartz.com/game/44073/tera/,0.42
Magic: The Gathering - Duels of the Planeswalkers 2013,2012-06-20,77,6.8,25,485573,2370,163,0,463,11,100,Strategy,T,7,4,0,11,5,5,19422.92,Magic: The Gathering - Duels of the Planeswalkers 2013,http://www.vgchartz.com/gamedb/?name=Magic%3A+The+Gathering+-+Duels+of+the+Planeswalkers+2013,NA
Resonance,2012-06-19,76,7.9,50,10561272,83815,1822,0,18401,35,101,Adventure,NA,23,12,0,20,3,3,211225.44,Resonance,http://www.vgchartz.com/gamedb/?name=Resonance,NA
Miasmata,2012-11-28,76,7.7,12,59526,360,11,0,78,21,113,Adventure,NA,12,9,0,31,4,4,4960.5,Miasmata,http://www.vgchartz.com/gamedb/?name=Miasmata,NA
Spec Ops: The Line,2012-06-25,76,8.2,39,2575530,18156,564,0,2363,16,1246,Action,M,9,7,0,192,50,50,66039.2307692308,Spec Ops: The Line,http://www.vgchartz.com/game/41816/spec-ops-the-line/,0.23
Ys Origin,2012-05-31,76,8.7,49,426833,7565,213,0,1095,7,98,Role-Playing,NA,4,3,0,26,1,1,8710.87755102041,Ys Origin,http://www.vgchartz.com/gamedb/?name=Ys+Origin,0
Prototype 2,2012-07-24,76,6.4,50,805124,28220,698,0,8591,12,398,Action Adventure,M,9,3,0,27,20,20,16102.48,Prototype 2,http://www.vgchartz.com/gamedb/?name=Prototype,0.12
Super Monday Night Combat,2012-04-19,76,3.6,48,140466,2622,58,0,737,7,211,Action,NA,5,2,0,23,14,14,2926.375,Super Monday Night Combat,http://www.vgchartz.com/gamedb/?name=Super+Monday+Night+Combat,NA
Dear Esther,2012-02-14,75,6.5,48,419969,8446,180,0,2161,37,680,Adventure,NA,29,5,3,114,49,49,8749.35416666667,Dear Esther,http://www.vgchartz.com/gamedb/?name=Dear+Esther,0
Tiny & Big: Grandpa's Leftovers,2012-06-19,75,7.4,17,431044,2639,160,0,728,30,95,Adventure,NA,20,10,0,8,15,15,25355.5294117647,Tiny & Big: Grandpa's Leftovers,NA,NA
Edna & Harvey: Harvey's New Eyes,2012-10-16,75,8.1,27,18593,380,8,0,91,19,68,Adventure,NA,11,8,0,4,2,2,688.62962962963,Edna & Harvey: Harvey's New Eyes,http://www.vgchartz.com/game/64151/edna-amp-harvey-harveys-new-eyes/,0.08
Scribblenauts Unlimited,2012-11-19,75,7.8,25,903267,11158,248,0,536,14,163,Puzzle,E,7,7,0,19,8,8,36130.68,Scribblenauts Unlimited,http://www.vgchartz.com/gamedb/?name=Scribblenauts+Unlimited,NA
Blacklight: Retribution,2012-04-03,75,7.5,50,9447554,207907,2889,0,31105,20,352,Action,NA,14,6,0,70,22,22,188951.08,Blacklight: Retribution,http://www.vgchartz.com/game/52902/blacklight-retribution/,NA
Iron Brigade,2012-08-13,75,5.2,50,906146,5002,76,0,855,7,38,Action,T,3,4,0,1,2,2,18122.92,Iron Brigade,http://www.vgchartz.com/gamedb/?name=Iron+Brigade,NA
The Dark Eye: Chains of Satinav,2012-06-22,75,7.7,50,2456977,27418,856,0,7261,24,120,Adventure,NA,18,6,0,13,2,2,49139.54,The Dark Eye: Chains of Satinav,http://www.vgchartz.com/gamedb/?name=The+Dark+Eye%3A+Chains+of+Satinav,0
Warp,2012-03-13,75,5.9,35,50774,887,20,0,595,9,46,Action,M,5,4,0,5,4,4,1450.68571428571,Warp,http://www.vgchartz.com/gamedb/?name=Warp,0
Mass Effect 3: Leviathan,2012-08-28,75,6.6,44,1099866,5784,525,0,2176,7,162,Role-Playing,M,5,2,0,7,8,8,24996.9545454545,Mass Effect 3,http://www.vgchartz.com/game/44119/mass-effect-3/,0.97
Symphony,2012-08-06,75,7.8,44,1337190,19277,575,0,3925,13,47,Miscellaneous,NA,8,5,0,12,2,2,30390.6818181818,Symphony,NA,NA
Deponia,2012-08-06,74,8.2,49,12667243,28138,3562,0,3776,33,313,Adventure,NA,20,13,0,29,15,15,258515.163265306,Deponia,http://www.vgchartz.com/game/38758/deponia/,0.15
The Sims 3 Supernatural,2012-09-04,74,6.3,50,90743,1855,18,0,361,16,49,Simulation,T,11,4,1,3,4,4,1814.86,The Sims 3,http://www.vgchartz.com/game/17805/the-sims-3/,8.02
Incredipede,2012-10-25,74,6.9,50,118093,1782,37,0,496,7,24,Miscellaneous,NA,2,5,0,4,4,4,2361.86,Incredipede,http://www.vgchartz.com/gamedb/?name=Incredipede,NA
Unmechanical,2012-08-08,74,8.2,48,75459,1096,30,0,231,24,71,Action,NA,13,11,0,13,3,3,1572.0625,Unmechanical,http://www.vgchartz.com/gamedb/?name=Unmechanical,NA
Snapshot,2012-08-30,74,7.3,40,3825412,107226,1283,0,8577,8,18,Action,E,6,2,0,2,1,1,95635.3,Snapshot,http://www.vgchartz.com/gamedb/?name=Snapshot,NA
The Secret World,2012-07-03,74,8.2,50,186372,4268,182,0,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3727.44,The Secret World,http://www.vgchartz.com/game/38647/the-secret-world/,0.17
BioShock Infinite,2013-03-25,94,8.5,50,711179,12241,427,0,1725,68,7368,Action,M,68,0,0,NA,297,297,14223.58,BioShock Infinite,http://www.vgchartz.com/game/46735/bioshock-infinite/,0.67
Fez,2013-05-01,91,6.6,44,134626,4107,90,0,1156,11,1067,Action,E,11,0,0,103,31,31,3059.68181818182,Fez,http://www.vgchartz.com/gamedb/?name=Fez,0
Spelunky,2013-08-08,90,7.2,49,563746,10296,125,0,1427,9,463,Action,NA,9,0,0,49,8,8,11505.0204081633,Spelunky,http://www.vgchartz.com/gamedb/?name=Spelunky,0
Brothers: A Tale of Two Sons,2013-09-03,90,8.5,19,1622688,9994,322,0,2333,9,1232,Action Adventure,T,9,0,0,192,28,28,85404.6315789474,Brothers: A Tale of Two Sons,http://www.vgchartz.com/gamedb/?name=Brothers%3A+A+Tale+of+Two+Sons,0
Dota 2,2013-07-09,90,6.2,40,245469,5177,56,0,1146,32,12149,Other Strategy Games,NA,31,1,0,NA,122,122,6136.725,Dota 2,NA,NA
Rocksmith 2014 Edition,2013-10-22,89,8,18,2399998,5425,773,0,500,7,134,Action,T,7,0,0,25,5,5,133333.222222222,Rocksmith 2014,http://www.vgchartz.com/game/73111/rocksmith-2014/,0.67
Crusader Kings II: The Old Gods,2013-05-28,88,8.7,26,261242,5228,95,0,1536,7,163,Strategy,NA,7,0,0,11,1,1,10047.7692307692,Crusader Kings II,http://www.vgchartz.com/game/51958/crusader-kings-ii/,0
Guacamelee! Gold Edition,2013-08-08,88,7.3,18,269808,1622,16,0,288,22,229,Action,NA,21,1,0,26,10,10,14989.3333333333,Guacamelee! Gold Edition,NA,NA
The Swapper,2013-05-30,87,8.6,38,52642,1484,33,0,582,36,481,Action,NA,35,1,0,80,15,15,1385.31578947368,The Swapper,http://www.vgchartz.com/gamedb/?name=The+Swapper,0
Europa Universalis IV,2013-08-13,87,8.7,46,503178,5681,167,0,1681,34,958,Strategy,T,31,3,0,154,17,17,10938.652173913,Europa Universalis IV,http://www.vgchartz.com/game/75717/europa-universalis-iv/,0
Gone Home,2013-08-15,86,5.4,41,212577,1058,11,0,141,56,2039,Adventure,NA,49,7,0,302,165,165,5184.80487804878,Gone Home,http://www.vgchartz.com/game/79734/gone-home/,0
Pac-Man Championship Edition DX +,2013-09-24,86,7.3,32,488560,4759,132,0,1144,7,76,Action,E,7,0,0,10,3,3,15267.5,Pac-Man Championship Edition DX +,http://www.vgchartz.com/gamedb/?name=Pac-Man+Championship+Edition+DX++,NA
Out of the Park Baseball 14,2013-04-15,86,8.5,17,48263,497,87,0,373,8,62,Sports,NA,7,1,0,25,2,2,2839,Out of the Park Baseball 14,http://www.vgchartz.com/gamedb/?name=Out+of+the+Park+Baseball+14,NA
Saints Row IV,2013-08-19,86,7.4,50,666224,4397,122,0,1519,45,1555,Action Adventure,M,42,3,0,190,79,79,13324.48,Saints Row IV,http://www.vgchartz.com/game/71729/saints-row-iv/,0.19
Starcraft II: Heart of the Swarm,2013-03-12,86,7.9,50,130491362,204720,57520,0,21819,68,1353,Strategy,T,66,1,1,168,58,58,2609827.24,Starcraft II: Heart of the Swarm,http://www.vgchartz.com/gamedb/?name=Starcraft+II%3A+Heart+of+the+Swarm,1.68
Tomb Raider,2013-03-04,86,8.5,6,2746277,69696,2401,0,8236,18,3582,Action Adventure,M,17,1,0,521,116,116,457712.833333333,Tomb Raider,http://www.vgchartz.com/game/6503/tomb-raider/,1.03
XCOM: Enemy Within,2013-11-12,86,8,49,17456963,213630,4862,0,57256,54,695,Turn-Based Strategy,M,52,2,0,74,20,20,356264.551020408,XCOM: Enemy Within,http://www.vgchartz.com/gamedb/?name=XCOM%3A+Enemy+Within,0
Path of Exile,2013-01-25,86,8,37,44081,1044,24,0,413,27,1518,Role-Playing,NA,25,2,0,267,45,45,1191.37837837838,Path of Exile,http://www.vgchartz.com/gamedb/?name=Path+of+Exile,NA
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013-02-26,85,8.2,8,20515,329,10,0,110,23,161,Action,T,23,0,0,19,7,7,2564.375,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,http://www.vgchartz.com/gamedb/?name=Bit.Trip+Presents...Runner2%3A+Future+Legend+of+Rhythm+Alien,NA
Dust: An Elysian Tail,2013-05-24,85,8.4,50,142897,3587,71,0,67,7,460,Role-Playing,E10+,7,0,0,92,8,8,2857.94,Dust: An Elysian Tail,http://www.vgchartz.com/gamedb/?name=Dust%3A+An+Elysian+Tail,0
DmC: Devil May Cry,2013-01-24,85,6.8,24,1089044,9439,161,0,1577,22,1694,Action,M,22,0,0,190,60,60,45376.8333333333,DmC: Devil May Cry,http://www.vgchartz.com/gamedb/?name=DmC%3A+Devil+May+Cry,0
The Wolf Among Us: Episode 1 - Faith,2013-10-11,85,9,47,1106731,10469,392,0,5711,45,765,Action Adventure,M,43,2,0,96,6,6,23547.4680851064,The Wolf Among Us: Episode 1 - Faith,http://www.vgchartz.com/gamedb/?name=The+Wolf+Among+Us%3A+Episode+1+-+Faith,NA
Rogue Legacy,2013-06-27,85,7.9,18,95516579,326851,13268,0,41881,43,589,Role-Playing,NA,42,1,0,77,33,33,5306476.61111111,Rogue Legacy,http://www.vgchartz.com/gamedb/?name=Rogue+Legacy,0
Football Manager 2014,2013-10-30,85,5.5,50,609099,15749,291,0,605,41,277,Sports,E,40,1,0,19,10,10,12181.98,Football Manager 2014,http://www.vgchartz.com/game/76962/football-manager-2014/,0.64
Sid Meier's Civilization V: Brave New World,2013-07-08,85,8.6,47,313556,9575,184,0,2236,55,636,Strategy,E10+,52,2,1,74,13,13,6671.40425531915,Sid Meier's Civilization V,http://www.vgchartz.com/game/43507/sid-meiers-civilization-v/,1.69
Trials Evolution: Gold Edition,2013-03-21,85,6.7,49,39148,493,19,0,137,10,126,Driving,E10+,10,0,0,14,4,4,798.938775510204,Trials Evolution: Gold Edition,NA,NA
"Papers, Please",2013-08-08,85,8.5,2,77,4,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,"Papers, Please",http://www.vgchartz.com/gamedb/?name=Papers%2C+Please,0
Mass Effect 3: Citadel,2013-03-05,84,7.9,30,19679,287,11,0,130,8,349,Role-Playing,M,7,1,0,32,6,6,655.966666666667,Mass Effect 3,http://www.vgchartz.com/game/44119/mass-effect-3/,0.97
