game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,game_name,links,global_sales
Trine,2009-09-11,80,8.2,37,13678591,70742,3606,0,22051,50,492,Action,E10+,43,7,0,62,23,23,369691.648648649,Trine,http://www.vgchartz.com/game/29606/trine/,0.01
Men of War,2009-03-16,80,8.1,50,5578652,80096,1429,0,16160,22,137,Strategy,M,18,4,0,30,9,9,111573.04,Men of War,http://www.vgchartz.com/game/26389/men-of-war/,0.03
Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,2009-10-30,80,8.4,10,522351,7149,123,0,1339,28,27,Adventure,E10+,23,5,0,1,0,0,52235.1,Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,http://www.vgchartz.com/gamedb/?name=Tales+of+Monkey+Island+Chapter+4%3A+The+Trial+and+Execution+of+Guybrush+Threepwood,0
Sins of a Solar Empire: Entrenchment,2009-02-25,80,8.1,50,297619,1134,39,0,313,12,18,Strategy,T,11,0,1,2,0,0,5952.38,Sins of a Solar Empire,http://www.vgchartz.com/game/15876/sins-of-a-solar-empire/,0.03
Fallout 3: Point Lookout,2009-06-23,79,7.8,31,90466,3410,36,0,1000,23,96,Role-Playing,M,19,4,0,3,1,1,2918.25806451613,Fallout 3,http://www.vgchartz.com/game/13869/fallout-3/,0.98
The Path,2009-03-18,79,7,30,63194,786,22,0,377,20,113,Adventure,NA,14,6,0,18,3,3,2106.46666666667,The Path,http://www.vgchartz.com/gamedb/?name=The+Path,0
Bookworm Adventures: Volume 2,2009-07-30,79,7.6,44,111632,1925,31,0,743,15,11,Miscellaneous,E10+,11,4,0,5,0,0,2537.09090909091,Bookworm,http://www.vgchartz.com/game/72051/bookworm/,NA
Tropico 3,2009-10-20,79,8.2,48,419527,1270,56,0,435,48,186,Strategy,T,40,8,0,30,10,10,8740.14583333333,Tropico 3,http://www.vgchartz.com/game/34534/tropico-3/,0.04
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,2009-07-07,79,8.2,0,0,0,0,0,0,54,69,Adventure,E10+,41,13,0,11,6,6,NaN,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,http://www.vgchartz.com/gamedb/?name=Tales+of+Monkey+Island+Chapter+1%3A+Launch+of+the+Screaming+Narwhal,0
Prototype,2009-06-10,79,7.9,28,10054,938,8,0,1705,35,581,Action Adventure,M,27,8,0,111,27,27,359.071428571429,Prototype,http://www.vgchartz.com/gamedb/?name=Prototype,0
Free Realms,2009-04-29,79,6.4,50,2441003,63680,954,0,18167,8,14,Role-Playing,E10+,6,2,0,5,1,1,48820.06,Free Realms,http://www.vgchartz.com/gamedb/?name=Free+Realms,0
King Arthur: The Role-Playing Wargame,2009-11-24,79,7.9,11,1935,26,1,0,21,23,134,Strategy,T,21,2,0,24,9,9,175.909090909091,King Arthur: The Role-Playing Wargame,http://www.vgchartz.com/gamedb/?name=King+Arthur%3A+The+Role-Playing+Wargame,NA
Overlord II,2009-06-23,79,8.1,28,3595352,32422,788,0,2615,32,159,Action Adventure,T,28,4,0,22,6,6,128405.428571429,Overlord II,http://www.vgchartz.com/game/31607/overlord-ii/,0.03
F.E.A.R. 2: Project Origin,2009-02-10,79,7.8,45,215955,980,71,0,207,49,525,Action,M,39,10,0,54,35,35,4799,F.E.A.R. 2: Project Origin,http://www.vgchartz.com/game/26638/fear-2-project-origin/,0.08
Crayon Physics Deluxe,2009-01-07,79,7.6,25,45689,432,13,0,137,15,79,Miscellaneous,E,10,5,0,12,6,6,1827.56,Crayon Physics Deluxe,http://www.vgchartz.com/game/35449/crayon-physics-deluxe/,NA
Zuma's Revenge!,2009-09-15,78,7.9,28,385008,3279,47,0,420,17,35,Miscellaneous,E,13,4,0,2,4,4,13750.2857142857,Zuma's Revenge!,http://www.vgchartz.com/game/38987/zumas-revenge/,0.01
Closure,2009-01-01,78,6.6,17,956299,6240,1040,0,1685,8,60,Action,NA,7,1,0,8,4,4,56252.8823529412,Closure,http://www.vgchartz.com/game/38913/closure/,NA
